id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,iata_code,score
308187,DE-0043,small_airport,Wilsche Glider Field,52.524677,10.462597,191,EU,DE,DE-NI,Wilsche,0,,0
308192,DE-0045,closed,Kleve-Wisseler Dünen Airfield,51.769461,6.299106,50,EU,DE,DE-NW,Wissel,0,,0
45184,DE-0028,closed,Wittstock Air Base,53.201,12.524,,EU,DE,DE-BR,Wittstock,0,,0
308191,DE-0044,small_airport,Witzenhausen-Burgberg Airport,51.349735,9.824789,659,EU,DE,DE-HE,Witzenhausen,0,,0
310000,DE-0099,small_airport,Große Wiese Airfield,52.13704,10.5695,253,EU,DE,DE-NI,Wolfenbüttel,0,,0
311669,DE-0126,small_airport,Stüde Bernsteinsee Airfield,52.5638,10.6853,245,EU,DE,DE-NI,Wolfsburg,0,,0
312143,DE-0134,small_airport,FSV Illtal Airfield,49.41,7.0547,1230,EU,DE,DE-SL,Wustweiler,0,,0
308158,DE-0041,small_airport,Zellhausen Gliderport,50.018845,8.984376,370,EU,DE,DE-HE,Zellhausen,0,,0
311547,DE-0121,small_airport,Bohlenbergerfeld Airfield,53.418,7.9039,26,EU,DE,DE-NI,Zetel,0,,0
308157,DE-0040,small_airport,Zierenberg Airfield,51.367,9.336,1450,EU,DE,DE-HE,Zierenberg,0,,0
